active.title|Fitness, yoga et studio|Fitness, yoga y estudio|Fitness, ioga e estúdio|Фитнес, йога и студийные занятия|健身、瑜伽与室内运动
certification.intro|Vérifiez l’organisme émetteur, l’entité, le site, les produits, les dates et la portée du document. Cette page ne constitue pas une déclaration de certification GRS ou de conformité universelle de GloryStarWear.|Verifica emisor, entidad, instalación, productos, fechas y alcance del documento. Esta página no declara que GloryStarWear tenga certificación GRS ni conformidad universal.|Verifique emissor, entidade, instalação, produtos, datas e âmbito do documento. Esta página não declara certificação GRS nem conformidade universal da GloryStarWear.|Проверьте выдавшую организацию, компанию, площадку, продукцию, даты и область документа. Эта страница не заявляет о наличии у GloryStarWear сертификации GRS или универсального соответствия.|核查签发机构、主体、场所、产品、日期与文件范围。本页不构成 GloryStarWear 已获得 GRS 认证或普遍合规的声明。
certification.points|Référence et authenticité du document;Validité, produit et site couverts;Traçabilité des matières et de la commande;Exigences d’étiquette du marché destinataire|Referencia y autenticidad del documento;Validez, producto e instalación cubiertos;Trazabilidad de materiales y pedido;Requisitos de etiquetado del mercado de destino|Referência e autenticidade do documento;Validade, produto e instalação abrangidos;Rastreabilidade dos materiais e encomenda;Requisitos de rotulagem do mercado de destino|Номер и подлинность документа;Срок действия, изделия и площадки;Прослеживаемость материалов и заказа;Требования к маркировке целевого рынка|文件编号与真实性;有效期、覆盖产品和场所;材料与订单追溯;目标市场标签要求
testing.title|Construire un essai pertinent|Diseña una prueba pertinente|Preparar um ensaio pertinente|Подготовка подходящих испытаний|设计与主张相符的测试
testing.intro|Distinguez la propriété recherchée, la méthode d’essai et l’allégation commerciale. Évacuation de l’humidité, séchage, réduction des odeurs et activité antibactérienne ne sont pas des résultats interchangeables.|Distingue la propiedad buscada, el método y la afirmación comercial. Evacuación de humedad, secado, reducción de olores y actividad antibacteriana no son resultados intercambiables.|Distinga a propriedade pretendida, o método e a alegação comercial. Gestão de humidade, secagem, redução de odores e atividade antibacteriana não são resultados intercambiáveis.|Различайте искомое свойство, метод испытания и рекламное заявление. Отвод влаги, высыхание, снижение запаха и антибактериальная активность не взаимозаменяемы.|区分目标性能、测试方法和商业主张；导湿、干燥、异味降低与抗菌活性不能互相替代。
testing.points|Allégation précise et contexte d’utilisation;Échantillon, matière et état de lavage;Méthode, conditions et critères convenus;Rapport, limites et lien avec la production|Afirmación concreta y contexto de uso;Muestra, material y estado de lavado;Método, condiciones y criterios acordados;Informe, límites y vínculo con producción|Alegação concreta e contexto de utilização;Amostra, material e estado de lavagem;Método, condições e critérios acordados;Relatório, limites e ligação à produção|Конкретное заявление и условия применения;Образец, материал и история стирок;Метод, условия и критерии;Отчёт, ограничения и связь с производством|具体性能主张与使用场景;样品、材料及洗涤状态;约定的方法、条件与标准;报告、适用边界及大货关联
shipping.title|Préparer la livraison|Prepara la entrega|Preparar a entrega|Подготовка поставки|规划交付与运输
shipping.intro|Comparez les devis avec un lieu nommé et une répartition écrite des frais, risques et formalités. EXW, FCA, FOB, DAP et DDP correspondent à des obligations distinctes : vérifiez leur adéquation au trajet réel.|Compara ofertas con un lugar definido y un reparto escrito de costes, riesgos y trámites. EXW, FCA, FOB, DAP y DDP implican obligaciones distintas: verifica su adecuación al trayecto real.|Compare propostas com um local definido e uma repartição escrita de custos, riscos e formalidades. EXW, FCA, FOB, DAP e DDP implicam obrigações distintas: confirme a adequação ao trajeto real.|Сравнивайте предложения с указанным местом и письменным распределением затрат, рисков и формальностей. EXW, FCA, FOB, DAP и DDP предусматривают разные обязанности: проверьте их соответствие маршруту.|比较报价时应注明地点，并书面划分费用、风险与手续责任。EXW、FCA、FOB、DAP 和 DDP 的义务不同，应核对是否适合实际运输路径。
shipping.points|Lieu nommé et version de la règle;Mode de transport et point de remise;Exportation, importation, taxes et assurance;Documents, calendrier et autorisation de départ|Lugar definido y versión de la regla;Transporte y punto de entrega;Exportación, importación, impuestos y seguro;Documentos, calendario y autorización de salida|Local definido e versão da regra;Transporte e ponto de entrega;Exportação, importação, impostos e seguro;Documentos, calendário e autorização de saída|Указанное место и версия правил;Транспорт и точка передачи;Экспорт, импорт, налоги и страхование;Документы, график и разрешение отправки|指定地点与规则版本;运输方式及交接点;进出口、税费与保险;单证、时间表和放行
planning.title|Préparer un projet réaliste|Prepara un proyecto realista|Preparar um projeto realista|Реалистичное планирование проекта|制定可执行的项目计划
planning.intro|Commencez par une gamme maîtrisée et des références claires. Les exemples présentés servent à organiser un projet ; ils ne constituent pas des témoignages clients ni des preuves de commandes réalisées.|Empieza con una gama controlada y referencias claras. Los ejemplos sirven para organizar un proyecto; no son testimonios de clientes ni pruebas de pedidos realizados.|Comece com uma gama controlada e referências claras. Os exemplos servem para organizar um projeto; não são testemunhos de clientes nem provas de encomendas realizadas.|Начните с управляемого ассортимента и понятных референсов. Примеры помогают спланировать проект и не являются отзывами клиентов или подтверждением выполненных заказов.|先控制产品范围并明确参考标准。页面示例用于辅助项目规划，不是客户评价，也不代表已完成的真实订单。
planning.points|Produits prioritaires et marché cible;Budget, quantité et calendrier;Documents prêts et décisions manquantes;Échantillons, contrôle et plan de réassort|Productos prioritarios y mercado objetivo;Presupuesto, cantidad y calendario;Documentos listos y decisiones pendientes;Muestras, inspección y reposición|Produtos prioritários e mercado-alvo;Orçamento, quantidade e calendário;Documentos prontos e decisões pendentes;Amostras, inspeção e reposição|Приоритетные изделия и целевой рынок;Бюджет, количество и сроки;Готовые документы и открытые решения;Образцы, контроль и повторные партии|优先产品与目标市场;预算、数量与时间表;已有文件与待确认事项;样品、检验及补单计划
editorial.title|Méthode éditoriale et limites|Método editorial y límites|Método editorial e limites|Редакционный подход и ограничения|编辑方法与内容边界
editorial.intro|Nos pages aident à préparer les décisions d’achat et les échanges techniques. Les illustrations, scénarios et informations générales doivent être distingués des documents vérifiés pour un produit ou une commande précise.|Nuestras páginas ayudan a preparar decisiones de compra y conversaciones técnicas. Las ilustraciones, escenarios e información general deben distinguirse de los documentos verificados de un producto o pedido concreto.|As nossas páginas ajudam a preparar decisões de compra e conversas técnicas. Ilustrações, cenários e informação geral distinguem-se dos documentos verificados de um produto ou encomenda concreta.|Страницы помогают готовить закупочные решения и технические обсуждения. Иллюстрации, сценарии и общие сведения следует отличать от проверенных документов конкретного изделия или заказа.|本网站用于辅助采购决策与技术沟通。示意图片、规划场景和一般信息，应与实际产品或订单对应的已核实文件区分。
editorial.points|Illustrations identifiées comme références;Exemples sans résultats clients inventés;Allégations reliées aux preuves pertinentes;Corrections à demander par notre contact|Ilustraciones identificadas como referencias;Ejemplos sin resultados de clientes inventados;Afirmaciones vinculadas a pruebas pertinentes;Correcciones a través de nuestro contacto|Ilustrações identificadas como referências;Exemplos sem resultados de clientes inventados;Alegações ligadas a evidências pertinentes;Correções através do nosso contacto|Иллюстрации обозначены как референсы;Примеры без выдуманных результатов клиентов;Заявления связаны с подходящими доказательствами;Запрос исправлений через контакты|明确标注示意参考图;不编造客户成果;主张对应适用证据;通过联系方式提出更正
privacy.title|Utilisation des données de votre demande|Uso de los datos de tu consulta|Utilização dos dados do seu pedido|Использование данных запроса|询盘信息的使用
privacy.intro|Nous utilisons les coordonnées et les informations de projet pour répondre à votre demande. Les envois sécurisés sont traités par Vercel et Cloudflare. WhatsApp et votre fournisseur de messagerie appliquent leurs propres conditions lorsque vous les utilisez.|Usamos datos de contacto y del proyecto para responder a tu consulta. Vercel y Cloudflare procesan los envíos seguros. WhatsApp y tu proveedor de correo aplican sus propias condiciones cuando los utilizas.|Usamos dados de contacto e do projeto para responder ao pedido. Vercel e Cloudflare processam os envios seguros. WhatsApp e o fornecedor de e-mail aplicam as suas próprias condições quando os utiliza.|Контактные данные и описание проекта используются для ответа. Защищённые запросы обрабатывают Vercel и Cloudflare. При использовании WhatsApp и почты действуют условия соответствующих сервисов.|联系信息与项目资料用于回复询盘。安全提交由 Vercel 与 Cloudflare 处理；使用 WhatsApp 或电子邮件时，相关服务适用各自的条款。
privacy.points|Consentement nécessaire à l’envoi de la demande;Fichiers : seuls les noms passent par le formulaire;Les langues utilisent des pages locales distinctes;Contact pour une demande de correction ou de suppression|Consentimiento necesario para enviar la consulta;Archivos: el formulario solo transmite sus nombres;Los idiomas usan páginas locales independientes;Contacto para solicitar corrección o eliminación|Consentimento necessário para enviar o pedido;Ficheiros: o formulário transmite apenas os nomes;Os idiomas usam páginas locais independentes;Contacto para pedir correção ou eliminação|Согласие требуется для отправки запроса;Форма передаёт только названия файлов;Языковые версии представлены отдельными страницами;Контакты для исправления или удаления данных|提交询盘需要同意信息使用;表单仅发送附件文件名;各语言使用独立的本地页面;可联系申请更正或删除信息
